# x[kpc] y[kpc] z[kpc] v_x[km/s] v_y[km/s] v_z[km/s]
  -7.3663  -16.3375  -25.7617  193.6073  223.8192 -182.5781
  14.4243    2.5514    4.6074   -9.1439  -17.3742 -159.0360
 -28.2037   11.4903    0.9654   15.0560  397.0786 -191.5850
  55.2730    4.3348    2.1485  -26.5008   24.3435  -30.4938
 -27.4304   19.0233  -21.5109  137.0202  153.8103  -51.0063
  -8.9110  -15.7492    6.5641   -2.9675   32.4001   91.1458
   9.1560    5.9174    5.5662   20.4864   46.2086 -141.4616
  -7.2390   -0.4116  -28.9710  137.9887  102.1864  115.0404
  -4.6492   -5.4748   10.4887  136.9222   26.1863 -181.6347
 -21.7030   22.2975   -2.9220  -87.1013  -38.6961  -59.3657
 -11.6872   -7.9325  -16.7533  204.2746   21.4351  -64.9081
 -18.0711   18.2976    0.0006  -16.3444 -104.8653  148.7241
  21.0619    6.6759    7.5571  -26.4696  128.8691 -145.2333
   8.2314   -3.9286    6.4264   -1.9522   31.4418   -5.7823
  -1.2004    8.6395  -19.4730  138.1132   60.8729   87.3661
  -2.0324  -26.2100   14.8576  -62.1239  -38.9597 -116.2807
 -28.5975    5.8917    0.4054  153.5743 -114.8570  -71.3917
   6.7072  -13.7434   -1.2016  -95.4415  -64.1325   23.4438
 -30.9270    9.2149  -28.7666   94.7691   63.9972   70.0379
  26.8985   -9.0531   17.8763  167.1372  293.7572 -101.8518
 -20.2391  -56.7571  -22.0609  -21.7994 -152.6236 -135.9349
  -9.1029  -35.7736   40.0401  319.2903  -16.5885   50.7693
  -6.1815  -17.7501   27.0082  319.9479  -15.7584  297.8891
 -12.7435    3.9503  -57.5497  178.7090    5.0064   -8.6623
   4.7465    9.8725  -12.5041  -87.1677  -28.6043   36.5383
 -10.5205   14.2143    9.7154  -45.8335  -25.5243   10.1792
  29.8306   18.3446   -5.9746  -97.5521    3.9499 -191.1158
 -18.7495  -12.7168    7.2159   -9.9170  124.9254  -81.9472
 -12.3874  -12.8782   16.3031  -64.8736   25.1401  -13.8011
   9.6100   15.0732   -7.4727 -174.0530  -47.9634   89.7249
   8.3642    1.1290   -1.9012   61.5014  -40.3454 -106.7933
 -26.5106    6.8606   -4.0820   13.7352  187.8873  -73.1791
  -5.6374  -11.2335   11.5453  259.1260  -62.0480  138.8414
 -11.6041   -8.9499   -7.8222 -118.2643  156.4509  -57.2552
 -14.4859   -9.6783  -10.0617  -82.3206  170.1445 -185.5064
 -49.4611   -4.8284    0.7449  -24.3303  -49.3782 -144.9103
  -0.3957   -9.6488   -0.3931  213.6688  -72.2149   72.1330
