ra[deg]  dec[deg]  D[kpc]  Vlos[km/s]  PMRA[mas/yr]  PMDEC[mas/yr]
      38.8805     -53.1925      30.5425      170.366      1.31877    -0.516170
      259.585     -17.3623      23.3213     -79.6936    -0.804657     -2.62100
      63.5855      54.0187      23.0014      70.8092      2.73446    -0.422315
      266.673     -24.5163      63.7559     -52.8838    -0.305753    -0.641390
      23.1249      23.1699      34.5216     -76.6530     0.966796    -0.769820
      154.976     -29.7949      17.0630      217.099      1.14258    0.0537280
      261.343     -4.36603      19.2460     -91.4851    -0.663038     -2.40186
      11.1749     -29.0408      29.0203     -101.224     0.410730     -1.31508
      193.135     -4.93730      12.3592     -31.4430    -0.430340     -5.20361
      9.38836      56.2563      26.1824     -172.962      1.91763    -0.604462
      42.0344     -39.3757      18.8673      118.125      1.05943     -3.01896
      2.41828      62.3187      20.7432     -284.614      1.84821      1.71182
      260.704     -10.6392      31.0385     -94.7668     -1.26101     -1.01212
      238.809     -26.0735      18.1569      26.9696     -2.52494     -1.78245
      343.278     -15.1988      22.4787     -95.2480      1.01854     -1.72695
      172.847     -30.9414      30.7602      156.604     -1.57523     -1.14550
      75.9915      42.8080      21.1387     -234.955      3.07847     -2.77925
      225.743     -62.4026      20.3864      120.394     -3.01946     -1.24837
      34.6346      7.03169      37.7620     -139.066     0.550951    -0.677005
      233.964     -22.6201      40.4906      73.7941     -1.14446    -0.286996
      101.579     -48.8662      62.0628      409.250     0.338700    -0.149302
      170.453     -8.59980      53.6791      193.658     -1.12629     -1.13534
      178.623     -3.42823      32.3657      398.510     -1.53397     -1.15837
      14.3760     -21.5386      57.8829     -12.5467    0.0573029     -1.02837
      318.326     -13.0462      20.6084     -204.977     0.550833     -1.89464
      258.706      68.3559      17.3448     -202.317     -2.61972     0.801566
      286.667     -10.0190      42.7374     -167.075    -0.775997     -1.19270
      131.675     -3.73348      17.9608      52.5077      1.05618     -1.26431
      163.172    -0.544290      21.1534      124.565     -1.54578     -1.26159
      301.730     -1.89074      24.5807     -331.893     0.745666    -0.800373
      274.937     -28.7106      16.8133      44.7294     0.414762     -3.69966
      59.6434      37.2129      19.8892     -1.09572    -0.292964    -0.939438
      178.464     -15.6718      16.3080      336.152     -1.53874     -2.53177
      72.9452     -44.6554      12.3543      130.486     0.478554      1.63182
      69.6775     -35.4273      15.2878      204.315      1.75561     0.489650
      90.9557      23.5721      41.4496      65.3535      1.00625     -1.60488
      207.549     -63.9506      12.4801      361.497     -2.04599      1.12896
      175.593      1.51563      13.1779      69.8709     -2.31486     -4.10312
      57.2363     -21.7261      73.0855      134.353     0.536437    -0.815791
      300.917     -13.9345      55.0667     -235.747    0.0974274    -0.757571
      41.0295      24.3314      17.2905      34.3368      2.63242    -0.602225
      282.440      52.6931      37.2686     -300.479    -0.402495     0.193369
      269.631      20.3666      19.6378     -245.068    -0.656527    -0.861677
      294.429     -71.8131      19.1439      176.778     -2.34018    -0.812950
      64.2562    -0.904971      54.6638      42.2851     0.764366     -1.22607
      125.773      1.00711      17.8498      84.3658     0.624229     -2.05086
      232.475      16.9060      12.3378     -150.028     -1.15775     -4.27205
      70.0182      40.0920      91.0756     -102.073     0.393918   -0.0454920
      145.795      51.9005      6.25603      128.156      4.31083     -2.52210
      75.1576      43.9464      21.4630     -199.811     0.859515     -2.58306
      49.3098      1.03894      31.5406     -94.6238      2.75679     -1.27653
      207.864    -0.331066      89.0333     -205.158    -0.451624    -0.139145
      8.10651      57.2769      51.4177     -49.1258     0.605240     0.124479
      191.577     -29.1678      43.4587      164.328    -0.225221    -0.515828
      258.515      19.9470      19.0600     -6.81116    -0.266411     -1.39180
      45.9084      19.6514      33.8192      39.2519      2.34938     -1.36509
      74.1120    -0.460704      35.0392     -7.25916      2.26930    -0.972106
      83.6954      41.0279      27.5012      64.3642      1.20616     -2.18522
      246.084     -21.0854      23.4814      70.3973     -1.83404     -2.30049
      236.040      81.0439      40.9964     -177.676    -0.384169   -0.0294927
      91.6736     -26.8377      7.52652      214.525      5.69969     -2.76900
      184.930     -71.4090      8.10102      256.874     -5.89945      8.23870
      245.769      43.9072      34.8065     -57.9434     -1.75446    -0.484265
      199.834      14.3876      24.6911     -115.746    -0.296157    -0.794923
      191.775     -38.9714      25.0857      124.318    -0.178440    -0.544263
      335.280      51.8008      12.6555     -61.6146      2.54944      1.00574
      208.663     -36.2102      19.1792      129.022     -2.98215     -1.30952
      102.704      50.8101      36.2997     -292.915    -0.474960     -1.64687
      208.693    0.0930915      31.1244      56.1606     -1.76604     -1.99277
      282.604     -17.3649      22.9754      38.0246     0.242540    -0.895008
      336.121     -79.6740      8.37672      131.761      2.85611     -3.97336
      134.126     -30.0054      23.5112      152.311     0.755044     0.650835
      88.7855     -27.4142      22.5328      235.490      2.00743     -1.18300
      183.157     -15.9676      11.8222     -6.18620     -1.31839     -4.07781
      91.2432     -7.44116      88.5245      175.087     0.205716    -0.401380
      43.6276      45.4226      17.8569     -71.9434      3.41203     -2.33246
      238.043     -72.4452      19.0818      294.610     -2.00958     -2.35459
      335.954     -31.8379      39.9670     -167.692    -0.716303     -2.36876
      128.271     -27.8123      61.2817      303.688   -0.0234490    -0.595572
      120.548     -9.76309      16.7069      421.835      1.99560     -3.28289
      111.371     -24.8928      28.2458      294.622     0.595885     -1.76513
      265.371     -18.4342      50.6695      74.8165    -0.400325     -1.54350
      175.232      26.9523      21.2909      25.3995     -2.95627     -1.07353
      176.583      39.7427      18.4268     -54.3504     -1.07532     -3.54616
      176.919     -52.1511      45.2414      148.537    -0.898050    -0.986874
      3.91437      74.4380      18.8205     -125.509      1.69129    -0.911211
      148.482     -1.50141      64.2870      74.0822    -0.374126    -0.454241
      126.104     -75.7571      27.9782      474.706     0.643202    -0.363446
