ra[deg]  dec[deg]  D[kpc]  Vlos[km/s]  PMRA[mas/yr]  PMDEC[mas/yr]
      183.636     -45.5761      13.8603      205.068     -1.02779     -1.01869
      80.8232      33.5669      15.4116     -29.7519      1.53758     -2.94175
      86.8412      8.27560      42.7058      93.6542     0.990106     0.126445
      217.610     -42.2629      44.1014      158.044    0.0162443     -1.13472
      100.668     -24.4315      51.5848      224.028     0.315136   -0.0900730
      170.664     -61.8504      43.1453      276.142     0.181665    -0.204281
      82.3574     -49.6445      32.6384      252.919      2.15202     0.492923
      340.755     -33.2727      19.4843      110.738     0.286562     -2.59064
      15.0569     -7.77329      30.8032     -45.0185      1.10882    -0.830460
      58.0402      78.0936      16.3805     -159.651      1.56783     -2.14316
      207.984     -49.3025      6.81750      100.455     -5.97947     -3.98336
      102.928     -38.4317      15.3402      77.7354      3.57466    -0.561673
      353.600     -32.0056      17.5944     -190.101     0.418043     -1.06074
      236.444     -33.0189      25.9994      52.0502     -2.23949      1.30184
      158.231     0.771833      14.0588      195.300     -1.67172     -1.81640
      167.204      74.9962      23.6622     -139.049    -0.213314     -1.47651
      324.213     -28.3499      26.3438     -70.4001      1.88143     0.542581
      23.3272     -8.79157      32.5246      18.2359      1.44766     -1.84294
      141.521      2.47177      67.2597      117.285     0.214428    -0.148725
      197.288      15.4182      24.1272      193.311     -2.99611     -3.68198
      24.2100     -10.7124      35.9903     -145.057     0.273215    -0.556349
      298.048     -62.4346      28.2296     -4.13557    -0.217804     -1.75892
      307.455      56.7076      19.9634     -131.834     0.367799     0.994252
      154.098      2.46858      71.8401      123.385    -0.413866    -0.683576
      168.777     -41.4680      7.57397      272.166    -0.526895     -4.12717
      146.295      50.8466      21.3559     -111.892     -2.15766     -2.29196
      128.727      21.0503      54.4553      87.1109     0.429116     -2.27776
      264.922     -15.5056      50.3750     -162.848    -0.897075    -0.775736
      227.514      32.6973      32.0961     -266.544    -0.369664     0.526452
      54.0724     -68.2784      24.0430      2.48235     0.968305     0.251612
      133.788     -13.5282      20.2744      383.507    -0.300599     -2.35844
      189.103      18.1310      3.92896      157.292     -5.47997     -4.90840
      330.404     -16.3986      21.6411     -214.015   -0.0555246     -3.07729
      49.4522      39.2052      25.8522     -128.121      2.71397     -1.75393
      272.606      46.4264      14.9247     -282.254     -2.20005    -0.793876
      309.593     -34.0178      47.8465      160.439     0.564549    -0.942428
      277.819     -26.9316      58.4928      30.4774     -1.21307     -1.93390
      99.2871     -59.3693      24.9672      298.988      1.73868      1.75485
      327.694      30.6512      14.7598     -257.244      2.54662     -3.35844
      178.326      27.2836      49.0373      3.50976    -0.493097     -1.91965
      251.006      49.2465      48.0113     -449.384    -0.972637     0.800114
      113.301     -27.4076      24.4140      204.596    -0.972237     0.379003
      269.627    -0.523788      6.95955     -97.1060     -3.90158     -5.08342
      99.6118     -41.3315      21.2119      386.453      2.69487    -0.861852
      39.9643      27.4299      13.2317      32.7929      3.65906     0.310110
      54.9153     0.702427      80.3806      129.345     0.413045    -0.378542
      196.888      37.1578      16.2828     -101.225     -2.75474     -2.10526
      290.201      64.2883      22.5326     -331.974   -0.0826727      1.38890
      234.164      64.0785      3.58192     -182.052     -9.11765    -0.440736
      166.523     -52.4997      29.0539      287.984     0.368489    -0.114091
      309.536     -2.57327      29.5131     -270.572      1.35618    -0.645092
      167.985      45.9020      15.6898      156.992    -0.693250     -5.15399
      70.2111     -16.8952      18.9655      127.593      1.59052     -3.24941
      223.869      48.4262      18.1315     -27.9007     -1.34604     0.132830
      289.738      40.0415      19.3547     -178.075    -0.782898      1.24253
      342.241      62.0149      22.1363     -263.302      1.18884     0.185901
      289.235      39.2742      33.8796     -282.453    -0.333763    -0.338991
      104.959     -7.06494      25.3540      148.939      2.85110     -2.75849
      325.066      7.38887      42.1048     -147.959     0.207478    -0.860368
      243.909      37.7224      86.9284     -76.7243     -1.19731    -0.253640
      24.2851     -69.4568      11.1249      95.7618      4.40103     -3.17979
      172.773      2.71169      8.90033      159.625     -2.04302     -9.12534
      139.813     -10.9929      62.6359      139.684    -0.307284    -0.373492
      301.758     -19.4177      14.9413     -180.623    -0.536032     -5.26917
      79.0829     -67.1811      18.1758      101.564      1.29278     -1.50614
      92.0605     -29.3536      17.6405      227.419      1.75589    0.0659957
      9.28638     -66.8520      44.4896      175.102      1.84991     -1.86192
      155.611      40.7444      32.0906      83.0883     0.138105     -2.43490
      295.682     -28.7762      15.9508     -152.106    -0.498068     -2.81086
      157.076     -42.8230      12.2169      260.102     0.548648     -1.89141
      183.607      21.6521      20.0370     -15.6836    -0.152384     -2.80507
      238.093      7.63427      23.9281     -242.245     -1.31127    -0.319967
      27.3178      42.7710      16.1916     -130.187      2.74759     -2.87147
      245.612     -87.3513      26.4194      267.583     -2.01444     0.107069
      261.929     -56.2003      30.1788     -30.2850    -0.700651    -0.594529
      133.730     -14.7588      37.9616      93.6830     0.243923      1.24881
      98.1524      85.7368      89.9232     -104.103      1.03657     -1.12673
      37.9873     -17.0072      15.7246     -7.88278      1.80311     -3.91783
      15.5209     -18.5161      89.1239      70.0173     0.344573    -0.704761
      5.07184      15.5694      13.6321     -110.851      1.83302     -1.51446
      243.721      21.5068      14.5484     -168.872      1.97300     -6.20800
      264.180      30.9333      49.3273     -70.8654     0.190150    -0.127243
      200.175     -4.73173      24.7804     -2.88554     -1.20182     -1.74713
      3.32372     -23.4223      19.0711      107.373    -0.147096     -2.25511
      16.7068      5.84226      20.3731     -224.201     0.178429    -0.425597
      147.212     -60.0896      8.07971      168.106     -3.95312     -1.17222
      281.415     -50.1266      20.6270      82.0143    -0.600828     -2.22268
      61.2953      63.4685      19.6263     -279.658      3.71843     -2.90237
      328.646     -43.2583      74.9680     -61.8160   -0.0355126     -1.21429
      222.468      12.9944      17.9427     -106.138   -0.0130510     -1.37069
      359.698      20.5646      28.6997     -122.864      2.04528     -1.52797
      102.893     -62.8840      27.8241      316.974     0.242884      1.59508
      75.7460      9.69248      16.9769      28.2865      1.04218     -3.58578
      223.557     -5.79608      92.8840      22.4304    -0.365750    -0.653400
      252.451     -48.4696      76.0324     -93.5010    -0.822556    -0.927537
      323.229     0.654790      32.7407     -61.0128   -0.0515247    -0.395235
      247.279      3.85200      92.9094     -272.907    -0.753064     -1.20725
      157.255      6.22725      8.97234      80.1984      2.05414     -6.59435
      8.44986     -8.98220      47.8870      86.1937     0.648084     -1.63440
      200.072      32.6720      24.1727      67.6168     0.146332     -1.68181
      194.126      18.2400      98.7101      34.7572    -0.365546    -0.569408
      136.207      12.2417      68.6922      122.510  -0.00748965    -0.389917
      352.073      49.3672      47.7349     -126.362    -0.168423    -0.194494
      214.818     -37.3157      18.3758      126.966     -2.50762    -0.745016
      324.386      60.4943      5.62808     -206.047     -3.13705      3.91560
      158.728      69.8397      16.8511     -101.296     -3.65970    -0.135971
      90.1861     -13.7213      36.2393      165.502      1.02826    -0.268295
      51.3534     -15.2874      24.7736      166.817      1.97785     -2.55170
      212.258     -86.4213      22.9216      300.967     -1.90774     -1.06950
      309.852      69.0912      24.0190     -88.4812     -1.85496      1.24523
      333.190     -44.8025      19.1051     -33.4186      2.71032     -2.75227
      195.712      38.7330      28.9176     -97.9890    -0.955287     -2.44444
      236.670      1.65629      95.4909     -37.5631     0.705194    -0.930470
      302.180      13.9236      34.5922     -48.2719     0.613826     -1.04547
      141.781    -0.480577      14.5312      232.653     -1.29488     -3.69438
      329.790     -56.8564      24.0118     -144.951    -0.224303     -1.81158
      320.802     -44.1050      45.1178     -48.4014    -0.211023     -1.02261
      11.2846     -38.9052      10.7833      100.397      2.21327     -5.11255
      33.7405     -50.7860      68.8593      207.142     0.703798     0.851528
      75.4473     -10.3092      31.1601     -42.4027      1.33527     -1.42804
      130.561      30.6635      25.9653      10.4970    -0.389975     -2.04654
      31.2934     -56.9145      41.9516      196.706      2.47538     0.809780
      149.033      16.8461      29.6377     -55.3102    -0.689325     -1.83342
      339.649     -6.24335      60.1571     -188.473    -0.376453     -1.02633
      18.2849     -63.8198      34.4271      96.5681      1.58741     -2.28738
      75.6654      4.17966      17.4264      55.1277      1.21050     -2.72598
      328.757      64.5014      42.2826     -125.894    -0.384163     0.822698
      181.687     -41.7845      40.3934      344.723    -0.857834      1.44945
      14.2593      24.3080      77.9609     -340.969    -0.103740    -0.599114
      181.421     -5.31966      58.8492      94.1833     -1.49596     -1.48063
      42.6805      52.1290      27.7979     -115.819      2.89268    -0.922046
      347.252     -10.7466      54.9119     -38.9196     0.585943     -1.75806
      275.732      27.8144      40.6749     -235.399    -0.739810    -0.872131
      108.178      33.9819      35.3823      54.9388     0.180932     0.152175
      12.4996     -14.9445      45.0755     -24.8435     0.880390    -0.126793
      310.842     -8.35647      26.7690     -234.011     0.333979     -1.23805
      308.335      63.2694      29.0401     -92.0038     0.230092    -0.507945
      273.650     -6.07865      9.67733      38.3894     -4.14620     -6.63196
      174.140      21.1550      33.8355     -108.040     -1.11068     -1.56537
      165.213      75.5581      87.8343     -179.174     0.653127    0.0403405
      302.470      48.5845      32.1778     -381.033     -1.60609      1.21186
      255.797     -37.1004      17.2727     -6.03034     0.348804     -5.15037
     0.984747      6.49541      71.8694      71.0796     -1.27126     0.472602
      145.871      26.9393      29.5144      54.6927     -1.14594    -0.545586
      22.0740      29.0411      34.9231     -112.284     0.907474     0.482800
      225.523      62.4005      44.0413     -154.433     -1.04712     0.546968
      204.531     -6.11446      45.4606      162.038     -1.29101    -0.844565
      163.513     -74.6214      30.0305      141.267     -1.14460     0.782297
      124.924      14.6685      94.7481      124.371    -0.504005    -0.940485
      152.321      16.5445      37.5278      31.2340     0.914652     -2.89766
      151.282     -10.0022      13.9398      208.786      1.23196      1.97123
      237.126      26.4088      18.3273     -111.636    -0.524563     -2.12328
      195.133      18.0074      44.9169      128.550    -0.106318    0.0701436
      204.957     -63.1096      12.6326      230.872     -2.23352    -0.884002
      80.6762      34.7799      16.4983      58.2804      3.23325     -2.94545
      129.708      14.8614      52.2645      58.3018    -0.734181     0.300938
      359.796     -65.6088      12.7319      135.528      2.48792     -5.57044
      230.686      22.4396      26.2592     -37.9296     -2.09561     -1.69323
      97.5947      56.2610      21.8716     -52.9738      2.47832     -2.61326
      75.7196     -24.0670      21.3976      264.844      1.15335     -2.22893
      288.501     -49.3956      22.6368      102.081     -1.81773     -1.38422
      180.835      22.5520      19.4110      51.7377     -2.24035     -2.75847
      68.6995      58.6570      58.5670     -75.4484    0.0504031     0.252709
      214.173     -60.9718      15.0707      158.060     -2.17915     0.323940
      217.069      59.6789      31.8856     -131.103     -3.09312     -1.17724
      339.172     -30.1886      17.9753      24.2509      1.57122     -4.08944
      238.694      54.2836      16.6560     -364.652     -2.47350     -1.73533
      246.402     -29.2022      102.630      34.7879    -0.355994    -0.761966
      291.575      7.42246      52.1081     -94.4873    -0.431779     0.178872
      99.0850      85.7158      15.4069     -157.435    -0.260139     -3.67744
