"Lara's NiFe 111 Ni diffraction Data"    "(20secs. Per point)"
    
angle CPS err.  
39.1408 1.2 0.2449489743  
39.1909 1.7 0.2915475947  
39.2409 1.5 0.2738612788  
39.2909 1.7 0.2915475947  
39.3409 1.85 0.3041381265  
39.3909 1.8 0.3  
39.4409 1.5 0.2738612788  
39.4909 1.75 0.2958039892  
39.5409 1.3 0.2549509757  
39.5909 1.7 0.2915475947  
39.6409 1.25 0.25  
39.6909 1.3 0.2549509757  
39.7409 1.75 0.2958039892  
39.7909 1.75 0.2958039892  
39.8409 1.5 0.2738612788  
39.8909 1.35 0.2598076211  
39.9409 1.85 0.3041381265  
39.9909 1.6 0.2828427125  
40.0409 1.95 0.3122498999  
40.0909 1.25 0.25  
40.1409 1.9 0.3082207001  
40.1909 2.1 0.3240370349  
40.2409 1.15 0.2397915762  
40.2909 1.75 0.2958039892  
40.3409 1.7 0.2915475947  
40.3909 1.5 0.2738612788  
40.4409 1.5 0.2738612788  
40.4909 1.25 0.25  
40.5409 1.8 0.3  
40.5909 1.65 0.2872281323  
40.6409 1.65 0.2872281323  
40.6909 1.5 0.2738612788  
40.7409 1.8 0.3  
40.7909 1.35 0.2598076211  
40.8409 1.4 0.2645751311  
40.8909 1.8 0.3  
40.9409 1.5 0.2738612788  
40.9909 1.35 0.2598076211  
41.0409 2.05 0.3201562119  
41.0909 1.75 0.2958039892  
41.1409 1.5 0.2738612788  
41.1909 1.4 0.2645751311  
41.2409 1.7 0.2915475947  
41.2909 1.05 0.2291287847  
41.3409 1.25 0.25  
41.3909 1.85 0.3041381265  
41.4409 1.25 0.25  
41.4909 1.35 0.2598076211  
41.5409 1.65 0.2872281323  
41.5909 1.55 0.2783882181  
41.6409 1.1 0.234520788  
41.6909 1.55 0.2783882181  
41.7409 1.4 0.2645751311  
41.7909 1.85 0.3041381265  
41.8409 1.55 0.2783882181  
41.8909 1.75 0.2958039892  
41.9409 1.35 0.2598076211  
41.9909 1.95 0.3122498999  
42.0409 1.15 0.2397915762  
42.0909 1.45 0.2692582404  
42.1409 2.15 0.3278719262  
42.1909 2.1 0.3240370349  
42.2409 1.85 0.3041381265  
42.2909 2.3 0.3391164992  
42.3409 2.1 0.3240370349  
42.3909 2.45 0.35  
42.4409 2 0.316227766  
42.4909 2 0.316227766  
42.5409 2 0.316227766  
42.5909 1.5 0.2738612788  
42.6409 1.65 0.2872281323  
42.6909 1.8 0.3  
42.7409 1.9 0.3082207001  
42.7909 2.05 0.3201562119  
42.8409 2.25 0.3354101966  
42.8909 2.3 0.3391164992  
42.9409 1.8 0.3  
42.9909 2.2 0.331662479  
43.0409 2.1 0.3240370349  
43.0909 1.6 0.2828427125  
43.1409 2.9 0.3807886553  
43.1909 2.3 0.3391164992  
43.2409 2.15 0.3278719262  
43.2909 2.35 0.34278273  
43.3409 1.7 0.2915475947  
43.3909 2.5 0.3535533906  
43.4409 2.45 0.35  
43.4909 2.25 0.3354101966  
43.5409 2.65 0.3640054945  
43.5909 2.3 0.3391164992  
43.6409 3.55 0.4213074887  
43.6909 4 0.4472135955  
43.7409 3.8 0.4358898944  
43.7909 3.3 0.4062019202  
43.8409 3.8 0.4358898944  
43.8909 4.15 0.455521679  
43.9409 4.7 0.4847679857  
43.9909 4.45 0.4716990566  
44.0409 4.95 0.4974937186  
44.0909 4.7 0.4847679857  
44.1409 5.85 0.5408326913  
44.1909 6.65 0.5766281297  
44.2409 6 0.5477225575  
44.2909 6.9 0.5873670062  
44.3409 6.5 0.5700877125  
44.3909 6.8 0.5830951895  
44.4409 6.5 0.5700877125  
44.4909 5.55 0.5267826876  
44.5409 6 0.5477225575  
44.5909 5.9 0.5431390246  
44.6409 7.1 0.5958187644  
44.6909 5.5 0.5244044241  
44.7409 5.6 0.5291502622  
44.7909 5.8 0.5385164807  
44.8409 4.65 0.482182538  
44.8909 3.55 0.4213074887  
44.9409 4.25 0.4609772229  
44.9909 3.55 0.4213074887  
45.0409 2.9 0.3807886553  
45.0909 3.65 0.4272001873  
45.1409 3.2 0.4  
45.1909 2.75 0.3708099244  
45.2409 3.5 0.4183300133  
45.2909 2 0.316227766  
45.3409 1.35 0.2598076211  
45.3909 2.4 0.3464101615  
45.4409 2.6 0.3605551275  
45.4909 2.25 0.3354101966  
45.541 2.15 0.3278719262  
45.5909 2 0.316227766  
45.6409 2.15 0.3278719262  
45.6909 1.8 0.3  
45.7409 1.95 0.3122498999  
45.7909 2.15 0.3278719262  
45.8409 1.9 0.3082207001  
45.8909 1.6 0.2828427125  
45.9409 1.6 0.2828427125  
45.9909 2 0.316227766  
46.0409 1.75 0.2958039892  
46.0909 1.5 0.2738612788  
46.1409 1.55 0.2783882181  
46.1908 1.65 0.2872281323  
46.2409 1.7 0.2915475947  
46.2909 1.65 0.2872281323  
46.3409 1.8 0.3  
46.3909 2.15 0.3278719262  
46.4409 1.4 0.2645751311  
46.4909 1.5 0.2738612788  
46.5409 1.5 0.2738612788  
46.5909 1.55 0.2783882181  
46.6409 1.6 0.2828427125  
46.6909 1.65 0.2872281323  
46.7409 1.7 0.2915475947  
46.7909 1.3 0.2549509757  
46.8409 1.45 0.2692582404  
46.8909 1.9 0.3082207001  
46.9409 1.8 0.3  
46.9909 1.3 0.2549509757  
47.0409 1.2 0.2449489743  
47.0909 1.65 0.2872281323  
47.1409 1.15 0.2397915762  
47.1909 1.6 0.2828427125  
47.2409 1.4 0.2645751311  
47.2909 1.1 0.234520788  
47.3409 0.8 0.2  
47.3909 1.65 0.2872281323  
47.4408 1.85 0.3041381265  
47.491 1.8 0.3  
47.5409 1.45 0.2692582404  
47.5909 1.4 0.2645751311  
47.6409 1.6 0.2828427125  
47.6909 1.2 0.2449489743  
47.7409 1.8 0.3  
47.7909 1.9 0.3082207001  
47.8409 1.25 0.25  
47.8909 2 0.316227766  
47.9409 1.3 0.2549509757  
